,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
2,4.0943445622221,3,0,0.0,0,1,Dresses
3,3.912023005428146,5,1,0.0,1,0,Pants
4,3.8501476017100584,5,1,2.449489742783178,0,4,Blouses
5,3.8918202981106265,2,0,2.0,0,1,Dresses
6,3.6635616461296463,5,1,1.0,1,4,Knits
7,3.6635616461296463,4,1,2.0,1,4,Knits
8,3.1780538303479458,5,1,0.0,0,1,Dresses
9,3.5263605246161616,5,1,0.0,0,1,Dresses
10,3.970291913552122,3,0,3.7416573867739413,0,1,Dresses
12,3.970291913552122,5,1,1.4142135623730951,1,1,Dresses
13,3.784189633918261,5,1,0.0,2,2,Others
14,3.912023005428146,3,1,1.0,0,1,Dresses
15,3.8501476017100584,4,1,1.7320508075688772,0,0,Pants
16,3.5263605246161616,3,1,1.4142135623730951,0,0,Pants
17,3.713572066704308,5,1,0.0,0,4,Blouses
18,3.4657359027997265,5,1,0.0,0,3,Others
19,3.8501476017100584,5,1,0.0,0,1,Dresses
20,3.4965075614664802,4,1,1.4142135623730951,0,4,Blouses
21,4.007333185232471,4,1,3.7416573867739413,0,1,Dresses
22,3.4339872044851463,2,0,2.6457513110645907,0,1,Dresses
23,3.5263605246161616,3,1,0.0,0,1,Dresses
24,4.007333185232471,5,1,0.0,0,4,Blouses
25,3.4339872044851463,3,0,0.0,2,2,Others
26,3.4965075614664802,2,0,0.0,0,4,Sweaters
27,3.4339872044851463,4,1,0.0,0,0,Others
28,3.970291913552122,5,1,1.4142135623730951,2,2,Others
29,3.332204510175204,5,1,0.0,0,4,Sweaters
31,3.828641396489095,5,1,2.6457513110645907,1,0,Pants
32,3.044522437723423,5,1,0.0,1,0,Pants
33,3.58351893845611,2,0,0.0,0,4,Sweaters
34,3.6635616461296463,5,1,0.0,2,2,Others
35,4.174387269895637,4,1,1.7320508075688772,1,0,Pants
37,3.6375861597263857,5,1,1.0,0,4,Sweaters
42,3.1354942159291497,5,1,0.0,0,4,Others
43,4.204692619390966,4,1,1.0,2,2,Others
44,3.871201010907891,5,1,3.0,0,4,Knits
45,3.7612001156935624,4,1,0.0,0,4,Knits
48,4.02535169073515,5,1,0.0,0,4,Others
49,3.4965075614664802,5,1,0.0,0,4,Knits
50,3.828641396489095,4,1,1.0,0,4,Knits
51,3.713572066704308,5,1,1.4142135623730951,0,4,Knits
53,3.6635616461296463,5,1,5.830951894845301,0,4,Knits
54,4.189654742026425,4,1,1.4142135623730951,0,4,Knits
55,4.110873864173311,5,1,1.4142135623730951,0,4,Knits
57,3.4339872044851463,3,0,0.0,0,4,Knits
59,3.9512437185814275,4,1,1.0,2,2,Others
60,3.713572066704308,5,1,0.0,1,1,Dresses
61,3.58351893845611,1,0,0.0,2,2,Others
62,3.332204510175204,5,1,0.0,0,4,Knits
63,4.04305126783455,5,1,1.0,0,4,Knits
64,3.7612001156935624,5,1,0.0,0,4,Knits
66,4.0943445622221,4,1,3.0,0,4,Knits
67,3.6888794541139363,5,1,1.0,0,4,Knits
68,3.6109179126442243,2,0,0.0,0,4,Knits
69,4.02535169073515,3,0,1.0,1,1,Dresses
70,3.6375861597263857,4,1,3.1622776601683795,1,4,Blouses
71,3.58351893845611,2,0,0.0,0,4,Blouses
72,3.295836866004329,5,1,2.0,0,4,Blouses
75,3.871201010907891,5,1,2.23606797749979,1,4,Blouses
76,3.4339872044851463,4,1,0.0,0,1,Dresses
77,3.332204510175204,2,0,0.0,1,4,Blouses
78,3.8501476017100584,5,1,1.0,0,4,Blouses
79,4.127134385045092,4,1,1.4142135623730951,1,1,Dresses
80,4.219507705176107,5,1,1.0,0,1,Dresses
82,3.4965075614664802,5,1,0.0,0,3,Others
83,4.219507705176107,5,1,1.7320508075688772,0,4,Blouses
84,3.6109179126442243,3,1,0.0,1,4,Knits
86,3.6635616461296463,4,1,0.0,1,4,Blouses
87,3.6635616461296463,4,1,3.0,1,1,Dresses
88,3.6375861597263857,2,0,2.0,1,4,Blouses
89,3.1780538303479458,4,1,1.7320508075688772,0,4,Blouses
90,3.9318256327243257,4,1,0.0,1,1,Dresses
94,3.1354942159291497,4,1,1.7320508075688772,1,4,Blouses
95,4.418840607796598,5,1,3.7416573867739413,0,4,Knits
97,3.784189633918261,1,0,0.0,1,4,Knits
99,3.4965075614664802,3,0,4.123105625617661,1,4,Knits
100,3.6635616461296463,4,1,0.0,1,4,Knits
101,3.6888794541139363,4,1,2.23606797749979,0,4,Knits
102,4.23410650459726,5,1,1.4142135623730951,0,4,Blouses
103,3.1354942159291497,2,0,3.0,0,4,Blouses
105,4.189654742026425,5,1,0.0,0,4,Blouses
106,3.8501476017100584,4,1,3.3166247903554,0,4,Blouses
107,4.189654742026425,4,1,0.0,0,4,Blouses
108,3.1354942159291497,5,1,1.7320508075688772,0,4,Blouses
110,3.784189633918261,1,0,3.3166247903554,1,4,Knits
111,3.784189633918261,3,1,2.0,0,1,Dresses
112,3.912023005428146,5,1,4.898979485566356,0,4,Blouses
113,4.110873864173311,5,1,1.7320508075688772,0,1,Dresses
114,3.4657359027997265,2,0,0.0,0,1,Dresses
115,3.9512437185814275,4,1,0.0,0,4,Knits
116,3.9318256327243257,4,1,1.0,0,1,Dresses
118,3.6109179126442243,2,0,0.0,0,4,Blouses
119,3.9889840465642745,5,1,2.0,0,4,Blouses
120,3.4965075614664802,5,1,0.0,1,4,Knits
123,3.1780538303479458,5,1,0.0,0,4,Blouses
124,3.912023005428146,3,0,1.4142135623730951,0,4,Sweaters
125,3.5263605246161616,3,1,1.0,0,1,Dresses
128,3.9512437185814275,4,1,0.0,0,3,Others
129,3.332204510175204,5,1,0.0,0,4,Knits
131,3.6635616461296463,3,1,0.0,0,1,Dresses
132,3.828641396489095,4,1,1.0,1,4,Knits
133,3.58351893845611,5,1,0.0,0,3,Others
134,4.174387269895637,5,1,3.4641016151377544,1,4,Blouses
136,3.4339872044851463,4,1,0.0,0,3,Others
137,3.9512437185814275,4,1,0.0,0,4,Blouses
138,3.5263605246161616,4,1,1.0,2,2,Others
139,3.4339872044851463,5,1,1.0,0,0,Others
140,3.58351893845611,5,1,0.0,0,4,Blouses
143,3.9318256327243257,5,1,0.0,0,0,Others
144,3.6635616461296463,3,0,3.0,0,4,Blouses
145,3.6635616461296463,3,1,1.4142135623730951,0,4,Blouses
146,3.6635616461296463,5,1,0.0,0,0,Others
147,3.8501476017100584,5,1,1.0,0,0,Others
148,4.1588830833596715,5,1,0.0,0,0,Others
149,3.6375861597263857,5,1,1.4142135623730951,0,0,Others
150,3.58351893845611,5,1,1.0,0,0,Others
151,3.6635616461296463,4,1,0.0,0,0,Others
152,3.970291913552122,3,0,0.0,0,4,Blouses
153,3.58351893845611,3,1,1.0,0,4,Blouses
154,3.784189633918261,3,1,0.0,1,4,Blouses
155,3.871201010907891,5,1,0.0,1,4,Blouses
157,3.7612001156935624,3,0,1.4142135623730951,2,2,Others
159,3.4965075614664802,4,1,0.0,1,4,Blouses
160,3.6635616461296463,4,1,0.0,0,3,Others
161,3.9512437185814275,1,0,2.8284271247461903,1,4,Blouses
162,4.1588830833596715,4,1,1.4142135623730951,1,4,Blouses
163,3.9512437185814275,5,1,2.6457513110645907,0,0,Others
164,3.7376696182833684,4,1,0.0,0,3,Others
166,4.02535169073515,5,1,2.449489742783178,1,0,Others
167,4.007333185232471,5,1,0.0,0,4,Others
169,3.8501476017100584,5,1,1.7320508075688772,0,1,Dresses
170,3.58351893845611,5,1,0.0,2,2,Others
171,3.828641396489095,5,1,0.0,2,2,Others
172,4.189654742026425,4,1,0.0,2,2,Others
173,3.9318256327243257,4,1,0.0,1,4,Knits
174,3.5263605246161616,5,1,2.23606797749979,1,0,Others
175,3.4011973816621555,4,1,2.0,0,4,Knits
176,3.7612001156935624,5,1,3.0,0,4,Others
178,3.5553480614894135,2,0,0.0,1,1,Dresses
179,3.713572066704308,5,1,1.7320508075688772,0,4,Others
180,3.6635616461296463,5,1,1.0,0,4,Others
181,3.6635616461296463,4,1,1.0,1,0,Others
182,3.912023005428146,5,1,2.23606797749979,0,4,Others
183,3.295836866004329,4,1,1.0,1,0,Others
184,3.4965075614664802,2,0,2.8284271247461903,0,4,Others
185,3.5553480614894135,2,0,0.0,0,4,Others
186,3.5263605246161616,4,1,0.0,1,0,Others
187,3.713572066704308,5,1,1.4142135623730951,0,5,Others
188,3.9889840465642745,4,1,0.0,1,1,Dresses
189,3.713572066704308,4,1,2.0,1,0,Others
190,3.8501476017100584,4,1,0.0,1,4,Others
191,3.9512437185814275,2,0,1.7320508075688772,1,4,Others
195,4.127134385045092,5,1,3.0,1,4,Others
196,3.258096538021482,5,1,1.4142135623730951,1,4,Knits
197,3.6375861597263857,5,1,1.7320508075688772,1,0,Others
198,3.970291913552122,5,1,0.0,0,4,Others
199,3.8918202981106265,3,0,0.0,1,0,Others
200,3.7612001156935624,3,0,0.0,0,4,Others
202,3.58351893845611,3,0,0.0,0,4,Others
203,4.143134726391533,5,1,1.0,0,4,Others
204,4.02535169073515,4,0,2.0,0,4,Blouses
205,3.871201010907891,3,0,3.0,1,0,Others
207,3.784189633918261,4,1,1.0,1,0,Others
210,3.9889840465642745,5,1,0.0,0,4,Others
212,3.9512437185814275,4,1,1.7320508075688772,0,1,Dresses
213,3.8501476017100584,5,1,0.0,0,1,Dresses
214,4.204692619390966,1,0,4.123105625617661,1,0,Others
215,3.6635616461296463,5,1,0.0,1,1,Dresses
216,3.828641396489095,2,0,0.0,2,2,Others
217,4.1588830833596715,5,1,1.7320508075688772,0,4,Blouses
218,3.4011973816621555,5,1,0.0,1,1,Dresses
220,3.58351893845611,4,1,2.23606797749979,1,4,Others
221,3.9512437185814275,5,1,1.0,1,0,Others
223,3.367295829986474,5,1,1.0,1,2,Others
225,3.5553480614894135,5,1,3.7416573867739413,0,0,Others
226,4.007333185232471,5,1,1.0,1,4,Blouses
227,4.04305126783455,4,1,1.7320508075688772,0,0,Pants
228,4.007333185232471,4,1,2.23606797749979,0,4,Blouses
229,3.6635616461296463,4,1,0.0,0,0,Others
230,3.6635616461296463,5,1,3.605551275463989,0,4,Blouses
231,3.828641396489095,5,1,2.8284271247461903,0,0,Pants
232,3.6109179126442243,2,0,1.0,0,4,Blouses
233,3.367295829986474,5,1,1.0,0,0,Others
234,4.418840607796598,5,1,0.0,0,4,Blouses
235,3.367295829986474,5,1,1.0,0,0,Pants
236,3.8918202981106265,5,1,0.0,1,2,Others
237,3.7376696182833684,2,0,0.0,0,0,Pants
238,4.143134726391533,5,1,0.0,0,4,Knits
240,4.007333185232471,4,1,0.0,0,0,Pants
241,3.4657359027997265,1,0,1.7320508075688772,1,2,Others
242,3.258096538021482,5,1,0.0,0,0,Pants
244,3.871201010907891,3,1,0.0,0,0,Pants
245,3.6375861597263857,5,1,0.0,0,4,Knits
246,3.8918202981106265,3,1,1.0,0,0,Pants
247,3.713572066704308,4,1,1.0,0,3,Others
250,3.871201010907891,5,1,1.0,0,0,Others
251,3.4657359027997265,5,1,0.0,0,4,Blouses
252,3.367295829986474,5,1,1.0,0,0,Pants
253,3.4657359027997265,5,1,2.449489742783178,1,2,Others
255,3.9318256327243257,4,1,1.0,0,4,Blouses
256,3.784189633918261,5,1,1.0,0,4,Blouses
257,3.7612001156935624,4,1,0.0,0,0,Others
258,3.871201010907891,3,0,1.0,0,4,Blouses
259,3.6109179126442243,5,1,1.0,0,4,Blouses
260,3.4339872044851463,5,1,1.4142135623730951,0,3,Others
261,3.912023005428146,5,1,0.0,0,4,Blouses
262,3.8501476017100584,3,0,1.0,0,4,Knits
263,4.02535169073515,5,1,1.4142135623730951,1,3,Others
